timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open
6/28/2014,713355.9341,13462580115,15001.2318,54394.21398,0,159913,170152,5547.6133,182,596.5490112,20814600,7737366940,599.0770264
6/29/2014,787422.7261,15429083781,15029.05379,49093.36474,0,141290,214015,5228.63,157,602.7150269,13398100,7730991679,596.3319702
6/30/2014,1303002.364,16818461371,15038.4861,70242.11981,0,214517,214243,7126.147,132,639.7969971,8897470,7813280835,602.6199951
7/1/2014,1317608.06,16818461371,15591.00895,69443.43706,0,220478,214590,8147.4299,133,640.8060303,46422400,8296103745,641.3909912
7/2/2014,1166724.438,16818461371,16325.03953,66726.89802,0,198070,205101,8293.857,137,650.8790283,38446300,8311317901,641.0369873
7/3/2014,1069070.101,16818461371,16224.83515,62848.19796,0,182326,198364,7100.7956,139,645.1560059,25768200,8444194978,650.7689819
7/4/2014,791094.1928,16818461371,16178.585,59492.43589,0,160096,179158,6529.5731,166,630.6920166,18949000,8372189412,644.6459961
7/5/2014,736571.2105,16818461371,16003.35421,49954.28357,0,134707,160196,5297.8861,152,631.4569702,22237200,8187107456,629.9509888
7/6/2014,929949.5211,16818461371,15816.76092,52139.99668,0,151576,222540,5823.4475,142,635.8070068,9105940,8199437572,631.7719727
7/7/2014,1017121.333,16818461371,15901.67994,64685.01044,0,184673,210116,7114.5548,150,624.0859985,10080000,8258179220,635.4630127
7/8/2014,1141577.253,16818461371,15760.93208,70115.10747,0,207023,234446,7714.7942,150,624.8179932,17813600,8108140914,622.5700073
7/9/2014,1026352.964,16818461371,15651.71166,68519.05872,0,212095,212429,7297.6407,166,624.5089722,10005500,8120056626,625.2210083
7/10/2014,1015290.765,16818461371,15673.67595,64604.4748,0,186307,197022,6991.9447,149,616.7620239,9819150,8118679451,624.8259888
7/11/2014,933897.2308,16818461371,15521.64478,59076.8782,0,180000,189315,6730.5375,156,632.0029907,15880700,8020234277,616.6619873
7/12/2014,775612.1019,16834953588,15598.54623,53452.50764,0,144789,182105,5423.772,157,633.7130127,16467100,8220889623,631.8809814
7/13/2014,851542.6,17336316979,15800.136,52416.88676,0,158310,226973,5941.682,160,626.4970093,13329000,8245635914,634.21698
7/14/2014,1052141.837,17336316979,15764.98992,62761.21002,0,173601,188638,7389.9784,135,619.3150024,11291000,8154265678,626.5620117
7/15/2014,1034645.333,17336316979,15608.99909,72314.93268,0,200439,218854,7790.7588,159,621.5859985,12706800,8062877468,619.9959717
7/16/2014,1037969.278,17336316979,15620.7913,65569.8097,0,182591,195384,7853.8623,144,616.7999878,10873200,8094883399,622.0130005
7/17/2014,904981.9535,17336316979,15508.56165,66241.28451,0,189888,204415,7277.5009,172,623.0889893,13182400,8034806880,616.5390015
7/18/2014,898057.5581,17336316979,15505.96852,64063.2354,0,192919,192786,7390.5026,172,628.7789917,16576700,8119394873,622.3690186
7/19/2014,765578.7119,17336316979,15619.96476,59552.90866,0,164126,179749,6454.1452,177,628.5150146,14158100,8196212862,629.1660156
7/20/2014,856152.3871,17336316979,15700.56714,51999.14408,0,151083,227657,5629.1226,155,623.9000244,7222030,8195599907,628.559021
7/21/2014,975350.5806,17336316979,15672.71669,64188.73338,0,185685,197264,6621.0382,155,622.2109985,5760120,8137808455,623.9500122
7/22/2014,1086204.479,17336316979,15592.52995,66867.20633,0,190976,196088,7281.6639,142,621.5510254,10711900,8118204691,622.2730103
7/23/2014,1042464.904,17336316979,15606.17825,66882.74508,0,186325,199524,6851.5445,146,619.414978,9602880,8111799946,621.1229858
7/24/2014,1080125.035,17336316979,15578.9778,66277.02453,0,189737,203433,6646.3672,143,601.7329712,11056600,8086153118,619.4959717
7/25/2014,922672.0982,17439393635,15301.55377,61496.51843,0,183986,201147,6284.1898,163,601.0889893,20917200,7857489687,601.5120239
7/26/2014,913129.3433,18736441558,15077.23179,56332.83283,0,148029,168146,5256.9954,134,595.8129883,12279500,7851574790,601.5419922
7/27/2014,874633.6209,18736441558,14955.75534,51990.84705,0,155005,224746,5317.4635,153,593.8519897,10752900,7784669228,595.6719971
7/28/2014,1016612.133,18736441558,14938.61972,64743.211,0,187631,200416,6167.8752,150,585.690979,7774230,7761289329,594.1370239
7/29/2014,966251.2483,18736441558,14664.05937,61606.39234,0,175914,192235,6080.6211,149,584.7249756,19316400,7656826297,585.552002
7/30/2014,922804.1163,18736441558,14667.53598,66152.60077,0,196032,203920,6456.1335,172,567.2930298,11275400,7646390353,584.7420044
7/31/2014,1061728.727,18736441558,14523.09473,69762.30036,0,202115,209584,6521.1615,154,586.2349854,14898800,7420859009,567.367981
8/1/2014,973155.1592,18736441558,14366.23232,67914.91079,0,185503,208421,6120.1171,157,594.9160156,22467900,7670841007,586.2020264
8/2/2014,760809.3252,18736441558,14832.50168,54987.64697,0,150744,168367,5012.4929,163,589.3330078,18215900,7786796032,594.8980103
8/3/2014,793939.1429,18736441558,14792.77939,53620.82843,0,139021,211180,5047.9294,154,586.6660156,8359080,7716181169,588.8930054
8/4/2014,1205222.094,18736441558,14683.4956,67847.06034,0,193103,186797,6495.4435,128,588.7819824,9917990,7683520602,586.2329712
8/5/2014,1295705.363,18736441558,14744.43716,72822.31077,0,214941,227423,7112.82,135,585.4359741,9867570,7713117798,589.0109863
8/6/2014,1150391.439,18736441558,14716.59478,80402.50542,0,230807,248227,7723.4233,164,584.6530151,10790800,7671275262,585.9520264
8/7/2014,999148.225,18736441558,14678.92214,69912.81635,0,196521,207962,6427.5879,160,588.8690186,14497900,7663383046,584.6459961
8/8/2014,1010699.519,19534776726,14691.67014,68296.7379,0,197137,202402,6544.3428,158,592.5770264,11131400,7721014780,588.875
8/9/2014,764649.3626,19729645941,14861.58845,60603.93848,0,170017,184739,5521.6061,182,589.3720093,11072000,7771958458,592.4699707
8/10/2014,826304.5876,19729645941,14762.7268,57912.78815,0,170314,239260,5792.5887,177,591.0609741,7922070,7732619577,589.1719971
8/11/2014,989725.4066,19729645941,14785.71663,75573.57019,0,220094,235703,7228.3022,182,576.367981,7555310,7757394871,591.2819824
8/12/2014,1026175.448,19729645941,14691.42686,76981.57588,0,217694,237409,7338.8991,174,569.6420288,14764200,7567178700,576.5120239
8/13/2014,1267042.924,19729645941,14320.39561,75737.34102,0,229097,227146,7089.9145,145,546.65802,13978200,7481336243,570.3770142
8/14/2014,1037291.978,19729645941,13882.52456,79081.55963,0,234562,230769,6754.4805,180,505.973999,25777500,7181459812,546.1810303
8/15/2014,1034797.527,19729645941,13068.77964,73201.83959,0,210262,213186,6274.9676,165,497.0100098,35803900,6649282620,511.1380005
8/16/2014,1242767.494,19729645941,12703.83846,67974.46,0,245614,198142,6610.4276,158,519.7080078,25598300,6533519507,497.8259888
8/17/2014,849294.9176,19729645941,12613.55363,60222.98779,0,165298,248443,18666.6409,170,491.7950134,22832500,6833965310,519.1420288
8/18/2014,842439.8788,19729645941,12611.38253,72758.42555,0,204384,222980,5916.6927,198,461.4599915,24300900,6468997661,491.5069885
8/19/2014,886922.2151,20349111934,11883.3754,74741.74095,0,201539,219985,6068.3291,186,485.2449951,50783800,6072259848,461.480011
8/20/2014,972016.497,23844670039,11831.41478,73852.70068,0,201102,217567,5647.0382,169,511.980011,38422400,6387510426,485.071991
8/21/2014,1006334.182,23844670039,12236.06488,73164.01602,0,203182,225979,5579.4657,165,517.2369995,46527600,6741573447,510.4490051
8/22/2014,991933.3758,23844670039,13024.33881,66998.65856,0,192199,204518,5587.489,157,514.0430298,49444200,6812929386,517.5809937
8/23/2014,782105.2346,23844670039,12842.0354,57592.96953,0,154541,169967,4420.1209,162,498.0750122,36563900,6772889206,513.3939819
8/24/2014,968617.6712,23844670039,12629.96925,56695.59389,0,162230,246319,4557.9663,146,508.2860107,25171900,6564528885,498.2850037
8/25/2014,1162126.073,23844670039,12646.4621,69895.29082,0,195656,208488,8283.2913,137,502.4960022,19441700,6700963067,508.2200012
8/26/2014,978666.0347,23844670039,12620.89775,72658.92717,0,210338,215466,5821.1027,173,511.5700073,18356700,6626339378,502.5440063
8/27/2014,1015240.071,23844670039,12722.91077,74580.1518,0,215120,213754,5857.6709,169,511.1530151,23235100,6748171027,512.1890259
8/28/2014,898031.7225,23844670039,12898.43369,68628.10234,0,187098,223619,5351.4696,173,507.8150024,22648500,6744868296,510.8840027
8/29/2014,846688.4,23844670039,12803.33741,68614.76676,0,175285,191312,5327.3467,170,508.5169983,19862000,6703031046,508.4249878
8/30/2014,745329.4505,23844670039,12724.49607,61213.51167,0,163275,191434,4640.3195,182,504.2489929,17624800,6714458468,508.5899963
8/31/2014,718413.6809,23901860904,12633.36156,57752.81089,0,156912,223276,4485.9503,188,477.7630005,9424070,6660385523,502.9049988
9/1/2014,1185450.765,27428630902,12283.04807,70383.33238,0,193658,230557,5344.536,136,474.8789978,44632300,6312801960,477.7869873
9/2/2014,1129848.136,27428630902,12021.81704,71909.07876,0,205488,212488,5559.157,147,477.4259949,20432000,6276309535,474.4750061
9/3/2014,954185.8462,27428630902,11981.72276,71867.29056,0,199968,201280,5318.8477,169,477.5859985,23337900,6311703012,476.8710022
9/4/2014,999654.4051,27428630902,11996.66206,70809.92223,0,193564,205128,5358.0646,158,489.6600037,13342200,6315859936,477.6799927
9/5/2014,1091062.262,27428630902,12144.87771,68036.87064,0,194670,208264,5347.2441,145,483.3420105,26081400,6477467310,489.6650085
9/6/2014,782726.4581,27428630902,12198.15105,63368.22633,0,170766,188251,4681.015,179,484.8299866,15302500,6395641762,483.3410034
9/7/2014,1009557.342,27428630902,12184.91463,60353.04693,0,172376,299744,9596.7128,155,482.2780151,10601400,6417500778,485.1289978
9/8/2014,1187081.194,27428630902,12187.42654,75767.02945,0,210254,220567,5929.4048,144,474.6000061,8994050,6385589802,481.8110046
9/9/2014,1410211.178,27428630902,11929.70441,81809.62485,0,259778,239736,6709.3225,146,475.2600098,30238000,6285637995,474.8800049
9/10/2014,1228194.369,27428630902,11838.82908,72558.41059,0,246495,210391,6017.7081,157,479.3590088,21447800,6296101902,475.4840088
9/11/2014,865364.0471,27428630902,12056.47642,66026.79095,0,179601,196900,4883.5495,170,479.7489929,22787800,6352285708,479.6170044
9/12/2014,969538.8571,27428630902,12002.02864,68384.16753,0,182908,195316,5124.913,154,477.7529907,16852900,6359504769,479.5820007
9/13/2014,725398.3646,27800072130,11931.11465,61246.77112,0,159182,179205,4545.7942,181,479.0020142,15437200,6334873398,477.7929993
9/14/2014,1099286.532,29829733124,11997.02383,67656.46699,0,198458,307488,5375.8079,158,477.8919983,15588000,6353614254,479.1170044
9/15/2014,1156009.544,29829733124,11987.24891,78667.21917,0,229489,222114,5845.7966,158,475.3710022,13105500,6340778582,477.7650146
9/16/2014,1185250.62,29829733124,11970.80306,87233.52759,0,249716,247362,6849.0257,171,466.0570068,15345200,6309195218,474.8619995
9/17/2014,962581.0753,29829733124,11820.10735,80304.64986,0,220582,227493,5785.9774,186,457.3340149,16797300,6187570806,465.8640137
9/18/2014,946811.8436,29829733124,11553.7895,77364.43956,0,208697,221458,5690.302,179,424.4400024,21056800,6073910021,456.8599854
9/19/2014,885411.4386,29829733124,11051.61282,69436.65323,0,186961,190782,4679.0397,171,394.79599,34483200,5638918842,424.1029968
9/20/2014,833606.7955,29829733124,10180.19798,63482.03664,0,180628,189403,4170.8014,176,408.9039917,37919700,5246779621,394.6730042
9/21/2014,871985.0732,29829733124,10290.63223,59798.48313,0,159698,265820,3834.6791,164,398.8210144,36863600,5436072002,408.0849915
