timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open,Anomaly
2014-06-28,713355.9341,13462580115.0,15001.2318,54394.213980069806,0,159913,170152,5547.6133,182,596.5490112,20814600.0,7737366940.0,599.0770264,0
2014-06-29,787422.7261,15429083781.0,15029.05379,49093.36474003292,0,141290,214015,5228.63,157,602.7150269,13398100.0,7730991679.0,596.3319702,0
2014-06-30,1303002.364,16818461371.0,15038.4861,70242.11980643182,0,214517,214243,7126.147,132,639.7969971,8897470.0,7813280835.0,602.6199951,1
2014-07-01,1317608.06,16818461371.0,15591.00895,69443.43706144845,0,220478,214590,8147.4299,133,640.8060303,46422400.0,8296103745.0,641.3909912,0
2014-07-02,1166724.438,16818461371.0,16325.03953,66726.89801719044,0,198070,205101,8293.857,137,650.8790283,38446300.0,8311317901.0,641.0369873,0
2014-07-03,1069070.101,16818461371.0,16224.83515,62848.19795689503,0,182326,198364,7100.7956,139,645.1560059,25768200.0,8444194978.0,650.7689819,0
2014-07-04,791094.1928,16818461371.0,16178.585,59492.43588635859,0,160096,179158,6529.5731,166,630.6920166,18949000.0,8372189412.0,644.6459961,0
2014-07-05,736571.2105,16818461371.0,16003.35421,49954.283567246144,0,134707,160196,5297.8861,152,631.4569702,22237200.0,8187107456.0,629.9509888,0
2014-07-06,929949.5211,16818461371.0,15816.76092,52139.99668349418,0,151576,222540,5823.4475,142,635.8070068,9105940.0,8199437572.0,631.7719727,0
2014-07-07,1017121.333,16818461371.0,15901.67994,64685.01044213804,0,184673,210116,7114.5548,150,624.0859985,10080000.0,8258179220.0,635.4630127,0
2014-07-08,1141577.253,16818461371.0,15760.93208,70115.10746896874,0,207023,234446,7714.7942,150,624.8179932,17813600.0,8108140914.0,622.5700073,0
2014-07-09,1026352.964,16818461371.0,15651.71166,68519.0587225283,0,212095,212429,7297.6407,166,624.5089722,10005500.0,8120056626.0,625.2210083,0
2014-07-10,1015290.765,16818461371.0,15673.67595,64604.47479518559,0,186307,197022,6991.9447,149,616.7620239,9819150.0,8118679451.0,624.8259888,0
2014-07-11,933897.2308,16818461371.0,15521.64478,59076.878200264786,0,180000,189315,6730.5375,156,632.0029907,15880700.0,8020234277.0,616.6619873,0
2014-07-12,775612.1019,16834953588.0,15598.54623,53452.507639830874,0,144789,182105,5423.772,157,633.7130127,16467100.0,8220889623.0,631.8809814,0
2014-07-13,851542.6,17336316979.0,15800.136,52416.8867570877,0,158310,226973,5941.682,160,626.4970093,13329000.0,8245635914.0,634.21698,0
2014-07-14,1052141.837,17336316979.0,15764.98992,62761.21001885117,0,173601,188638,7389.9784,135,619.3150024,11291000.0,8154265678.0,626.5620117,0
2014-07-15,1034645.333,17336316979.0,15608.99909,72314.93267711456,0,200439,218854,7790.7588,159,621.5859985,12706800.0,8062877468.0,619.9959717,0
2014-07-16,1037969.278,17336316979.0,15620.7913,65569.80970263701,0,182591,195384,7853.8623,144,616.7999878,10873200.0,8094883399.0,622.0130005,0
2014-07-17,904981.9535,17336316979.0,15508.56165,66241.28450990345,0,189888,204415,7277.5009,172,623.0889893,13182400.0,8034806880.0,616.5390015,1
2014-07-18,898057.5581,17336316979.0,15505.96852,64063.23540248356,0,192919,192786,7390.5026,172,628.7789917,16576700.0,8119394873.0,622.3690186,0
2014-07-19,765578.7119,17336316979.0,15619.96476,59552.90866425691,0,164126,179749,6454.1452,177,628.5150146,14158100.0,8196212862.0,629.1660156,0
2014-07-20,856152.3871,17336316979.0,15700.56714,51999.14407906832,0,151083,227657,5629.1226,155,623.9000244,7222030.0,8195599907.0,628.559021,0
2014-07-21,975350.5806,17336316979.0,15672.71669,64188.73337842838,0,185685,197264,6621.0382,155,622.2109985,5760120.0,8137808455.0,623.9500122,0
2014-07-22,1086204.479,17336316979.0,15592.52995,66867.20632807662,0,190976,196088,7281.6639,142,621.5510254,10711900.0,8118204691.0,622.2730103,1
2014-07-23,1042464.904,17336316979.0,15606.17825,66882.74507626795,0,186325,199524,6851.5445,146,619.414978,9602880.0,8111799946.0,621.1229858,0
2014-07-24,1080125.035,17336316979.0,15578.9778,66277.02452840572,0,189737,203433,6646.3672,143,601.7329712,11056600.0,8086153118.0,619.4959717,0
2014-07-25,922672.0982,17439393635.0,15301.55377,61496.518428601084,0,183986,201147,6284.1898,163,601.0889893,20917200.0,7857489687.0,601.5120239,0
2014-07-26,913129.3433,18736441558.0,15077.23179,56332.83282841383,0,148029,168146,5256.9954,134,595.8129883,12279500.0,7851574790.0,601.5419922,0
2014-07-27,874633.6209,18736441558.0,14955.75534,51990.84705190914,0,155005,224746,5317.4635,153,593.8519897,10752900.0,7784669228.0,595.6719971,0
2014-07-28,1016612.133,18736441558.0,14938.61972,64743.2109965991,0,187631,200416,6167.8752,150,585.690979,7774230.0,7761289329.0,594.1370239,0
2014-07-29,966251.2483,18736441558.0,14664.05937,61606.39233709022,0,175914,192235,6080.6211,149,584.7249756,19316400.0,7656826297.0,585.552002,0
2014-07-30,922804.1163,18736441558.0,14667.53598,66152.60076699457,0,196032,203920,6456.1335,172,567.2930298,11275400.0,7646390353.0,584.7420044,0
2014-07-31,1061728.727,18736441558.0,14523.09473,69762.30035530454,0,202115,209584,6521.1615,154,586.2349854,14898800.0,7420859009.0,567.367981,0
2014-08-01,973155.1592,18736441558.0,14366.23232,67914.9107863702,0,185503,208421,6120.1171,157,594.9160156,22467900.0,7670841007.0,586.2020264,0
2014-08-02,760809.3252,18736441558.0,14832.50168,54987.64697102622,0,150744,168367,5012.4929,163,589.3330078,18215900.0,7786796032.0,594.8980103,0
2014-08-03,793939.1429,18736441558.0,14792.77939,53620.82842541926,0,139021,211180,5047.9294,154,586.6660156,8359080.0,7716181169.0,588.8930054,0
2014-08-04,1205222.094,18736441558.0,14683.4956,67847.0603393946,0,193103,186797,6495.4435,128,588.7819824,9917990.0,7683520602.0,586.2329712,0
2014-08-05,1295705.363,18736441558.0,14744.43716,72822.31076751379,0,214941,227423,7112.82,135,585.4359741,9867570.0,7713117798.0,589.0109863,0
2014-08-06,1150391.439,18736441558.0,14716.59478,80402.50542469876,0,230807,248227,7723.4233,164,584.6530151,10790800.0,7671275262.0,585.9520264,0
2014-08-07,999148.225,18736441558.0,14678.92214,69912.8163464579,0,196521,207962,6427.5879,160,588.8690186,14497900.0,7663383046.0,584.6459961,0
2014-08-08,1010699.519,19534776726.0,14691.67014,68296.73790312905,0,197137,202402,6544.3428,158,592.5770264,11131400.0,7721014780.0,588.875,0
2014-08-09,764649.3626,19729645941.0,14861.58845,60603.93848026278,0,170017,184739,5521.6061,182,589.3720093,11072000.0,7771958458.0,592.4699707,1
2014-08-10,826304.5876,19729645941.0,14762.7268,57912.7881534677,0,170314,239260,5792.5887,177,591.0609741,7922070.0,7732619577.0,589.1719971,0
2014-08-11,989725.4066,19729645941.0,14785.71663,75573.57018626561,0,220094,235703,7228.3022,182,576.367981,7555310.0,7757394871.0,591.2819824,0
2014-08-12,1026175.448,19729645941.0,14691.42686,76981.57587743996,0,217694,237409,7338.8991,174,569.6420288,14764200.0,7567178700.0,576.5120239,0
2014-08-13,1267042.924,19729645941.0,14320.39561,75737.34101710792,0,229097,227146,7089.9145,145,546.65802,13978200.0,7481336243.0,570.3770142,0
2014-08-14,1037291.978,19729645941.0,13882.52456,79081.55963262162,0,234562,230769,6754.4805,180,505.973999,25777500.0,7181459812.0,546.1810303,0
2014-08-15,1034797.527,19729645941.0,13068.77964,73201.8395919012,0,210262,213186,6274.9676,165,497.0100098,35803900.0,6649282620.0,511.1380005,1
2014-08-16,1242767.494,19729645941.0,12703.83846,67974.46000239167,0,245614,198142,6610.4276,158,519.7080078,25598300.0,6533519507.0,497.8259888,0
2014-08-17,849294.9176,19729645941.0,12613.55363,60222.987792931606,0,165298,248443,18666.6409,170,491.7950134,22832500.0,6833965310.0,519.1420288,0
2014-08-18,842439.8788,19729645941.0,12611.38253,72758.42554703666,0,204384,222980,5916.6927,198,461.4599915,24300900.0,6468997661.0,491.5069885,0
2014-08-19,886922.2151,20349111934.0,11883.3754,74741.74095223434,0,201539,219985,6068.3291,186,485.2449951,50783800.0,6072259848.0,461.480011,0
2014-08-20,972016.497,23844670039.0,11831.41478,73852.700682869,0,201102,217567,5647.0382,169,511.980011,38422400.0,6387510426.0,485.071991,1
2014-08-21,1006334.182,23844670039.0,12236.06488,73164.01601684616,0,203182,225979,5579.4657,165,517.2369995,46527600.0,6741573447.0,510.4490051,0
